packet_cnt,packet_cnt_up,packet_cnt_down,intarv_time_med,intarv_time_max,intarv_time_min,intarv_time_med_up,intarv_time_max_up,intarv_time_min_up,intarv_time_med_down,intarv_time_max_down,intarv_time_min_down,bytes_payload_l4_med,bytes_payload_l4_max,bytes_payload_l4_min,bytes_payload_range,bytes_payload_l4_med_up,bytes_payload_l4_max_up,bytes_payload_l4_min_up,bytes_payload_range_up,bytes_payload_l4_med_down,bytes_payload_l4_max_down,bytes_payload_l4_min_down,bytes_payload_range_down,duration_flow,duration_flow_up,duration_flow_down,changes_bulktrans_mode,duration_bulkmode,duration_bulkmode_up,duration_bulkmode_down,qouta_bulkmode,qouta_bulkmode_upstream,qouta_bulkmode_downstream,time_in_idle_mode,time_in_idle_mode_upstream,time_in_idle_mode_downstream,time_in_idle_mode_qouta,time_in_idle_mode_qouta_up,time_in_idle_mode_qouta_down,website
8,4,4,0.027882099151611328,58.13065195083618,1.5974044799804688e-05,58.13065195083618,58.13065195083618,0.028783082962036133,58.13153004646301,58.13153004646301,0.027882099151611328,46,46,0,46,46,46,0,46,46,46,6,40,12201591925.542051,6100795962.7701645,6100795962.771887,0,0,4575596942.983512,0,0.0,74.99999952310958,0.0,58.13065195083618,58.13065195083618,58.13153004646301,7.097483668180596e-09,9.528371757648657e-07,9.528515688967746e-07,3
8,4,4,0.02706599235534668,58.09085988998413,1.5974044799804688e-05,58.09085988998413,58.09085988998413,0.027734041213989258,58.13270711898804,58.13270711898804,0.026852846145629883,46,46,0,46,46,46,0,46,46,46,6,40,12201591949.597424,6100795974.818222,6100795974.779201,0,0,4575596952.030147,0,0.0,74.9999995232832,0.0,58.09085988998413,58.09085988998413,58.13270711898804,6.988513310569206e-09,9.52184930126515e-07,9.5287086077472e-07,3
8,4,4,0.02170705795288086,58.13732695579529,1.6927719116210938e-05,58.13732695579529,58.13732695579529,0.022695064544677734,58.13806986808777,58.13806986808777,0.02170705795288086,46,46,0,46,46,46,0,46,46,46,6,40,12201591949.53717,6100795974.767761,6100795974.769408,0,0,4575596951.984154,0,0.0,74.99999952314965,0.0,58.13732695579529,58.13732695579529,58.13806986808777,6.892922923980334e-09,9.529465859249358e-07,9.529587632257317e-07,3
8,4,4,0.037687063217163086,58.079339027404785,1.6927719116210938e-05,58.079339027404785,58.079339027404785,0.03600597381591797,58.12216901779175,58.12216901779175,0.03525996208190918,46,46,0,46,46,46,0,46,46,46,6,40,12201591949.637451,6100795974.838977,6100795974.798475,0,0,4575596952.04239,0,0.0,74.99999952322872,0.0,58.079339027404785,58.079339027404785,58.12216901779175,6.7878509544723925e-09,9.519960881651631e-07,9.526981275539487e-07,3
12,6,6,0.0004830360412597656,1.5251121520996094,1.0013580322265625e-05,0.0006740093231201172,1.5251390933990479,0.00022602081298828125,0.0007328987121582031,1.5251331329345703,0.0004730224609375,6,95,0,95,0,46,0,46,6,95,6,89,18302387587.513824,9151193793.75581,9151193793.758017,0,0,4575596895.346858,0,0.0,49.999999983269426,0.0,0,0,0,0.0,0.0,0.0,3
8,4,4,0.12198400497436523,58.030142068862915,1.6927719116210938e-05,58.030142068862915,58.030142068862915,0.12292098999023438,58.03084397315979,58.03084397315979,0.12198400497436523,46,46,0,46,46,46,0,46,46,46,6,40,12201591989.982252,6100795994.99034,6100795994.991911,0,0,4575596967.104478,0,0.0,74.99999952238565,0.0,58.030142068862915,58.030142068862915,58.03084397315979,6.5486381693821024e-09,9.51189682731799e-07,9.512011878580565e-07,3
8,4,4,0.011778116226196289,58.09468603134155,1.6927719116210938e-05,58.09468603134155,58.09468603134155,0.012603998184204102,58.14221787452698,58.14221787452698,0.010711193084716797,46,46,0,46,46,46,0,46,46,46,6,40,12201591989.586248,6100795994.8156395,6100795994.770612,0,0,4575596967.040349,0,0.0,74.99999952348217,0.0,58.09468603134155,58.09468603134155,58.14221787452698,6.466877104601372e-09,9.522476424504197e-07,9.530267513348168e-07,3
8,4,4,0.011483907699584961,58.14069414138794,5.0067901611328125e-06,58.14069414138794,58.14069414138794,0.01232600212097168,58.14144706726074,58.14144706726074,0.011483907699584961,46,46,0,46,46,46,0,46,46,46,6,40,12201591989.541372,6100795994.769908,6100795994.771465,0,0,4575596966.994569,0,0.0,74.99999952329397,0.0,58.14069414138794,58.14069414138794,58.14144706726074,6.3852716007772225e-09,9.530017753622775e-07,9.530141167986835e-07,3
8,4,4,0.010934114456176758,58.09755802154541,3.814697265625e-06,58.09755802154541,58.09755802154541,0.011626958847045898,58.140214920043945,58.140214920043945,0.010895013809204102,46,46,0,46,46,46,0,46,46,46,6,40,12201591997.591457,6100795998.815929,6100795998.775525,0,0,4575596970.041013,0,0.0,74.99999952348949,0.0,58.09755802154541,58.09755802154541,58.140214920043945,6.296163497602554e-09,9.522947174896726e-07,9.529939196739755e-07,3
8,4,4,0.010750055313110352,58.09758901596069,1.811981201171875e-05,58.09758901596069,58.09758901596069,0.011474132537841797,58.14035987854004,58.14035987854004,0.01071310043334961,46,46,0,46,46,46,0,46,46,46,6,40,12201591997.59192,6100795998.816187,6100795998.775733,0,0,4575596970.041315,0,0.0,74.99999952349128,0.0,58.09758901596069,58.09758901596069,58.14035987854004,6.213998283203449e-09,9.522952255285063e-07,9.529962957326758e-07,3
8,4,4,0.010905981063842773,58.08663010597229,5.0067901611328125e-06,58.08663010597229,58.08663010597229,0.011833906173706055,58.13174510002136,58.13174510002136,0.010495901107788086,46,46,0,46,46,46,0,46,46,46,6,40,12201592005.638464,6100796002.840403,6100796002.79806,0,0,4575596973.064206,0,0.0,74.99999952356879,0.0,58.08663010597229,58.08663010597229,58.13174510002136,6.1327897321898115e-09,9.521155940786805e-07,9.528550876534783e-07,3
8,4,4,0.184722900390625,58.91565799713135,1.621246337890625e-05,58.91565799713135,58.91565799713135,0.18577003479003906,58.95874094963074,58.95874094963074,0.184722900390625,46,46,0,46,46,46,0,46,46,46,6,40,12201592010.339151,6100796005.1898,6100796005.149351,0,0,4575596974.238211,0,0.0,74.99999951392999,0.0,58.91565799713135,58.91565799713135,58.95874094963074,6.141204794028456e-09,9.657044416337346e-07,9.664106273979144e-07,3
8,4,4,0.010712862014770508,58.08684802055359,1.6927719116210938e-05,58.08684802055359,58.08684802055359,0.011595964431762695,58.131882190704346,58.131882190704346,0.010326862335205078,46,46,0,46,46,46,0,46,46,46,6,40,12201592005.638962,6100796002.8406925,6100796002.79827,0,0,4575596973.06455,0,0.0,74.99999952357086,0.0,58.08684802055359,58.08684802055359,58.131882190704346,5.978770345523253e-09,9.521191659827146e-07,9.528573347484627e-07,3
15,7,8,0.0005178451538085938,5.362790107727051,1.2159347534179688e-05,0.007058858871459961,5.362790107727051,0.0002810955047607422,0.006918191909790039,5.36362886428833,0.00030493736267089844,6,77,0,77,31,46,0,46,6,77,6,71,22877984633.535686,10676392828.263575,12201591805.272114,0,0,4575596920.249477,0,0.0,42.85714279954665,0.0,5.362790107727051,5.362790107727051,5.36362886428833,5.392829590590041e-10,5.023035583263812e-08,4.395843550487233e-08,3
8,4,4,0.02699899673461914,58.115473985672,1.5974044799804688e-05,58.115473985672,58.115473985672,0.027891874313354492,58.116365909576416,58.116365909576416,0.02699899673461914,46,46,0,46,46,46,0,46,46,46,6,40,12201592013.667276,6100796006.832754,6100796006.834523,0,0,4575596976.038914,0,0.0,74.99999952324825,0.0,58.115473985672,58.115473985672,58.116365909576416,5.773262996149597e-09,9.525883822469064e-07,9.526030020422014e-07,3
12,6,6,0.0031201839447021484,5.338599920272827,1.6927719116210938e-05,0.022279977798461914,5.338599920272827,0.003650188446044922,0.021908998489379883,5.339517831802368,0.004055976867675781,6,77,0,77,31,46,0,46,6,77,6,71,18302387726.703564,9151193863.350155,9151193863.353409,0,0,4575596926.280823,0,0.0,49.99999994105409,0.0,5.338599920272827,5.338599920272827,5.339517831802368,5.208727000272034e-10,5.8337742593931045e-08,5.834777310515558e-08,3
